dates,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16
1/1/14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/1/14,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/1/14,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/14,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
5/1/14,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
6/1/14,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
7/1/14,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
8/1/14,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
9/1/14,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
10/1/14,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1
11/1/14,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,2,1
12/1/14,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,2,1
1/1/15,1,3,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,2,1
2/1/15,1,3,1,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,2,3
3/1/15,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,2,3
4/1/15,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,3
5/1/15,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3
6/1/15,1,3,1,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,3
7/1/15,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,3
8/1/15,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,3
9/1/15,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,3
10/1/15,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3
11/1/15,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3
12/1/15,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3
1/1/16,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3
2/1/16,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3
3/1/16,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3
4/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3
5/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3
6/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3
7/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3
8/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3
9/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,1,1,3
10/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,3
11/1/16,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,3
